2024-12-26 14:31:00,682 - INFO - Episode 12601/300000, Reward: 4.0, Loss: 0.0022, Epsilon: 0.811, end at: 46, eps/sec: 12.17, ETR: 393.65 min
2024-12-26 14:31:09,615 - INFO - Episode 12701/300000, Reward: 4.0, Loss: 0.0031, Epsilon: 0.809, end at: 46, eps/sec: 12.16, ETR: 393.78 min
2024-12-26 14:31:18,325 - INFO - Episode 12801/300000, Reward: 5.0, Loss: 0.0013, Epsilon: 0.808, end at: 46, eps/sec: 12.15, ETR: 393.83 min
2024-12-26 14:31:27,048 - INFO - Episode 12901/300000, Reward: 1.0, Loss: 0.0028, Epsilon: 0.807, end at: 46, eps/sec: 12.15, ETR: 393.87 min
2024-12-26 14:31:35,878 - INFO - Episode 13001/300000, Reward: 3.0, Loss: 0.0018, Epsilon: 0.805, end at: 46, eps/sec: 12.14, ETR: 393.96 min
2024-12-26 14:31:44,803 - INFO - Episode 13101/300000, Reward: 3.0, Loss: 0.0015, Epsilon: 0.804, end at: 46, eps/sec: 12.13, ETR: 394.07 min
2024-12-26 14:31:53,659 - INFO - Episode 13201/300000, Reward: 7.0, Loss: 0.0020, Epsilon: 0.803, end at: 46, eps/sec: 12.13, ETR: 394.15 min
2024-12-26 14:32:02,441 - INFO - Episode 13301/300000, Reward: 6.0, Loss: 0.0044, Epsilon: 0.801, end at: 46, eps/sec: 12.12, ETR: 394.21 min
2024-12-26 14:32:11,461 - INFO - Episode 13401/300000, Reward: 5.0, Loss: 0.0022, Epsilon: 0.800, end at: 46, eps/sec: 12.11, ETR: 394.35 min
2024-12-26 14:32:20,404 - INFO - Episode 13501/300000, Reward: 9.0, Loss: 0.0015, Epsilon: 0.799, end at: 46, eps/sec: 12.11, ETR: 394.45 min
2024-12-26 14:32:29,313 - INFO - Episode 13601/300000, Reward: 4.0, Loss: 0.0016, Epsilon: 0.797, end at: 46, eps/sec: 12.10, ETR: 394.54 min
2024-12-26 14:32:38,273 - INFO - Episode 13701/300000, Reward: 6.0, Loss: 0.0099, Epsilon: 0.796, end at: 46, eps/sec: 12.09, ETR: 394.65 min
2024-12-26 14:32:47,242 - INFO - Episode 13801/300000, Reward: 3.0, Loss: 0.0029, Epsilon: 0.795, end at: 46, eps/sec: 12.08, ETR: 394.75 min
2024-12-26 14:32:56,306 - INFO - Episode 13901/300000, Reward: 3.0, Loss: 0.0019, Epsilon: 0.793, end at: 46, eps/sec: 12.08, ETR: 394.88 min
2024-12-26 14:33:05,391 - INFO - Episode 14001/300000, Reward: 5.0, Loss: 0.0019, Epsilon: 0.792, end at: 46, eps/sec: 12.07, ETR: 395.02 min
2024-12-26 14:33:14,366 - INFO - Episode 14101/300000, Reward: 7.0, Loss: 0.0034, Epsilon: 0.791, end at: 46, eps/sec: 12.06, ETR: 395.11 min
2024-12-26 14:33:23,277 - INFO - Episode 14201/300000, Reward: 4.0, Loss: 0.0026, Epsilon: 0.789, end at: 46, eps/sec: 12.05, ETR: 395.18 min
2024-12-26 14:33:32,469 - INFO - Episode 14301/300000, Reward: 6.0, Loss: 0.0016, Epsilon: 0.788, end at: 46, eps/sec: 12.04, ETR: 395.34 min
2024-12-26 14:33:41,464 - INFO - Episode 14401/300000, Reward: 3.0, Loss: 0.0021, Epsilon: 0.787, end at: 46, eps/sec: 12.04, ETR: 395.43 min
2024-12-26 14:33:50,377 - INFO - Episode 14501/300000, Reward: 2.0, Loss: 0.0077, Epsilon: 0.786, end at: 46, eps/sec: 12.03, ETR: 395.49 min
2024-12-26 14:33:59,312 - INFO - Episode 14601/300000, Reward: 3.0, Loss: 0.0055, Epsilon: 0.784, end at: 46, eps/sec: 12.03, ETR: 395.56 min
2024-12-26 14:34:08,318 - INFO - Episode 14701/300000, Reward: 7.0, Loss: 0.0015, Epsilon: 0.783, end at: 46, eps/sec: 12.02, ETR: 395.64 min
2024-12-26 14:34:17,342 - INFO - Episode 14801/300000, Reward: 3.0, Loss: 0.0020, Epsilon: 0.782, end at: 46, eps/sec: 12.01, ETR: 395.73 min
2024-12-26 14:34:26,402 - INFO - Episode 14901/300000, Reward: 2.0, Loss: 0.0089, Epsilon: 0.780, end at: 46, eps/sec: 12.00, ETR: 395.82 min
2024-12-26 14:34:35,398 - INFO - Episode 15001/300000, Reward: 2.0, Loss: 0.0192, Epsilon: 0.779, end at: 46, eps/sec: 12.00, ETR: 395.90 min
2024-12-26 14:34:44,363 - INFO - Episode 15101/300000, Reward: 2.0, Loss: 0.0210, Epsilon: 0.778, end at: 46, eps/sec: 11.99, ETR: 395.96 min
2024-12-26 14:34:53,295 - INFO - Episode 15201/300000, Reward: 4.0, Loss: 0.0161, Epsilon: 0.776, end at: 46, eps/sec: 11.99, ETR: 396.00 min
2024-12-26 14:35:02,458 - INFO - Episode 15301/300000, Reward: 1.0, Loss: 0.0063, Epsilon: 0.775, end at: 46, eps/sec: 11.98, ETR: 396.12 min
2024-12-26 14:35:11,569 - INFO - Episode 15401/300000, Reward: 2.0, Loss: 0.0118, Epsilon: 0.774, end at: 46, eps/sec: 11.97, ETR: 396.21 min
2024-12-26 14:35:20,684 - INFO - Episode 15501/300000, Reward: 4.0, Loss: 0.0082, Epsilon: 0.773, end at: 46, eps/sec: 11.96, ETR: 396.31 min
2024-12-26 14:35:29,976 - INFO - Episode 15601/300000, Reward: 4.0, Loss: 0.0087, Epsilon: 0.771, end at: 46, eps/sec: 11.96, ETR: 396.45 min
2024-12-26 14:35:38,452 - INFO - Episode 15701/300000, Reward: 1.0, Loss: 0.0056, Epsilon: 0.770, end at: 46, eps/sec: 11.96, ETR: 396.35 min
2024-12-26 14:35:47,088 - INFO - Episode 15801/300000, Reward: 3.0, Loss: 0.0064, Epsilon: 0.769, end at: 46, eps/sec: 11.95, ETR: 396.29 min
